#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Sep  4 02:04:52 2022

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Nexys2_programmer_map.ncd
#OUTPUT FILE:      Nexys2_programmer_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,,DIFFM,IO_L24P_0,UNUSED,,0,,,,,,,,,
A5,,DIFFMI,IP_L22P_0,UNUSED,,0,,,,,,,,,
A6,,DIFFS,IO_L20N_0,UNUSED,,0,,,,,,,,,
A7,,IBUF,IP,UNUSED,,0,,,,,,,,,
A8,,IOB,IO,UNUSED,,0,,,,,,,,,
A9,,,VCCO_0,,,0,,,,,2.50,,,,
A10,,DIFFS,IO_L12N_0/GCLK7,UNUSED,,0,,,,,,,,,
A11,,IOB,IO,UNUSED,,0,,,,,,,,,
A12,,,NC,,,,,,,,,,,,
A13,,DIFFM,IO_L05P_0,UNUSED,,0,,,,,,,,,
A14,,DIFFS,IO_L04N_0,UNUSED,,0,,,,,,,,,
A15,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
A16,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
A17,,,TCK,,,,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
B1,,,PROG_B,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,DIFFS,IO_L25N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,,DIFFS,IO_L24N_0,UNUSED,,0,,,,,,,,,
B5,,DIFFSI,IP_L22N_0,UNUSED,,0,,,,,,,,,
B6,,DIFFM,IO_L20P_0,UNUSED,,0,,,,,,,,,
B7,,,VCCAUX,,,,,,,,2.5,,,,
B8,clk,IBUF,IP_L13P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B9,,DIFFSI,IP_L13N_0/GCLK9,UNUSED,,0,,,,,,,,,
B10,,DIFFM,IO_L12P_0/GCLK6,UNUSED,,0,,,,,,,,,
B11,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,,DIFFS,IO_L05N_0/VREF_0,UNUSED,,0,,,,,,,,,
B14,,DIFFM,IO_L04P_0,UNUSED,,0,,,,,,,,,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,button<0>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
C1,shared_a<18>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
